episode,timestep,episode_reward
358,11604,29.0
359,11626,22.0
360,11685,59.0
361,11750,65.0
362,11767,17.0
363,11798,31.0
364,11817,19.0
365,11890,73.0
366,11925,35.0
367,11958,33.0
368,12057,99.0
369,12094,37.0
370,12182,88.0
371,12306,124.0
372,12342,36.0
373,12365,23.0
374,12465,100.0
375,12565,100.0
376,12602,37.0
377,12632,30.0
378,12665,33.0
379,12730,65.0
380,12894,164.0
381,12951,57.0
382,12978,27.0
383,12994,16.0
384,13058,64.0
385,13136,78.0
386,13152,16.0
387,13194,42.0
388,13260,66.0
389,13344,84.0
390,13380,36.0
391,13463,83.0
392,13494,31.0
393,13559,65.0
394,13575,16.0
395,13656,81.0
396,13688,32.0
397,13867,179.0
398,13949,82.0
399,13994,45.0
400,14023,29.0
401,14074,51.0
402,14116,42.0
403,14145,29.0
404,14190,45.0
405,14391,201.0
406,14466,75.0
407,14500,34.0
408,14546,46.0
409,14585,39.0
410,14660,75.0
411,14753,93.0
412,14811,58.0
413,14877,66.0
414,14896,19.0
415,14979,83.0
416,15065,86.0
417,15123,58.0
418,15217,94.0
419,15335,118.0
420,15387,52.0
421,15401,14.0
422,15441,40.0
423,15475,34.0
424,15573,98.0
425,15630,57.0
426,15692,62.0
427,15741,49.0
428,15923,182.0
429,16006,83.0
430,16108,102.0
431,16140,32.0
432,16218,78.0
433,16287,69.0
434,16369,82.0
435,16399,30.0
436,16492,93.0
437,16565,73.0
438,16606,41.0
439,16660,54.0
440,16764,104.0
441,16807,43.0
442,16843,36.0
443,16881,38.0
444,17031,150.0
445,17081,50.0
446,17121,40.0
447,17196,75.0
448,17239,43.0
449,17304,65.0
450,17357,53.0
451,17413,56.0
452,17484,71.0
453,17509,25.0
454,17552,43.0
455,17642,90.0
456,17703,61.0
457,17739,36.0
458,17840,101.0
459,17970,130.0
460,18076,106.0
461,18170,94.0
462,18215,45.0
463,18248,33.0
464,18291,43.0
465,18357,66.0
466,18381,24.0
467,18458,77.0
468,18490,32.0
469,18597,107.0
470,18621,24.0
471,18673,52.0
472,18754,81.0
473,18845,91.0
474,18892,47.0
475,18963,71.0
476,19038,75.0
477,19078,40.0
478,19161,83.0
