episode,timestep,episode_reward
0,15,15.0
1,26,11.0
2,60,34.0
3,78,18.0
4,115,37.0
5,141,26.0
6,157,16.0
7,185,28.0
8,203,18.0
9,253,50.0
10,270,17.0
11,318,48.0
12,332,14.0
13,357,25.0
14,373,16.0
15,384,11.0
16,398,14.0
17,434,36.0
18,450,16.0
19,470,20.0
20,482,12.0
21,501,19.0
22,535,34.0
23,545,10.0
24,556,11.0
25,577,21.0
26,591,14.0
27,602,11.0
28,664,62.0
29,684,20.0
30,702,18.0
31,717,15.0
32,758,41.0
33,781,23.0
34,810,29.0
35,836,26.0
36,851,15.0
37,871,20.0
38,926,55.0
39,941,15.0
40,957,16.0
41,992,35.0
42,1022,30.0
43,1040,18.0
44,1067,27.0
45,1100,33.0
46,1112,12.0
47,1132,20.0
48,1160,28.0
49,1194,34.0
50,1226,32.0
51,1243,17.0
52,1287,44.0
53,1315,28.0
54,1330,15.0
55,1350,20.0
56,1372,22.0
57,1388,16.0
58,1406,18.0
59,1438,32.0
60,1451,13.0
61,1491,40.0
62,1527,36.0
63,1552,25.0
64,1583,31.0
65,1640,57.0
66,1684,44.0
67,1696,12.0
68,1747,51.0
69,1771,24.0
70,1788,17.0
71,1804,16.0
72,1826,22.0
73,1843,17.0
74,1894,51.0
75,1912,18.0
76,1932,20.0
77,1949,17.0
78,1960,11.0
79,1980,20.0
80,2034,54.0
81,2106,72.0
82,2137,31.0
83,2161,24.0
84,2174,13.0
85,2197,23.0
86,2221,24.0
87,2239,18.0
88,2262,23.0
89,2279,17.0
90,2289,10.0
91,2351,62.0
92,2391,40.0
93,2409,18.0
94,2429,20.0
95,2454,25.0
96,2472,18.0
97,2513,41.0
98,2527,14.0
99,2546,19.0
100,2560,14.0
101,2580,20.0
102,2674,94.0
103,2761,87.0
104,2782,21.0
105,2801,19.0
106,2827,26.0
107,2841,14.0
108,2871,30.0
109,2901,30.0
110,2918,17.0
111,2933,15.0
112,2951,18.0
113,2978,27.0
114,3015,37.0
115,3037,22.0
116,3061,24.0
117,3095,34.0
118,3132,37.0
119,3151,19.0
120,3166,15.0
121,3214,48.0
122,3230,16.0
123,3245,15.0
124,3298,53.0
125,3322,24.0
126,3343,21.0
127,3383,40.0
128,3422,39.0
129,3459,37.0
130,3511,52.0
131,3551,40.0
132,3571,20.0
133,3595,24.0
134,3642,47.0
135,3656,14.0
136,3714,58.0
137,3756,42.0
138,3780,24.0
139,3834,54.0
140,3894,60.0
141,3909,15.0
142,3989,80.0
143,4007,18.0
144,4026,19.0
145,4073,47.0
146,4109,36.0
147,4147,38.0
148,4177,30.0
149,4216,39.0
150,4241,25.0
151,4311,70.0
152,4355,44.0
153,4389,34.0
154,4427,38.0
155,4466,39.0
156,4499,33.0
157,4532,33.0
158,4557,25.0
159,4588,31.0
160,4610,22.0
161,4644,34.0
162,4662,18.0
163,4679,17.0
164,4709,30.0
165,4725,16.0
166,4750,25.0
167,4771,21.0
168,4782,11.0
169,4809,27.0
170,4840,31.0
171,4863,23.0
172,4952,89.0
173,4969,17.0
174,5001,32.0
175,5024,23.0
176,5042,18.0
177,5074,32.0
178,5092,18.0
179,5143,51.0
180,5174,31.0
181,5229,55.0
182,5267,38.0
183,5298,31.0
184,5353,55.0
185,5463,110.0
186,5486,23.0
187,5511,25.0
188,5535,24.0
189,5546,11.0
190,5607,61.0
191,5625,18.0
192,5647,22.0
193,5660,13.0
194,5687,27.0
195,5716,29.0
196,5744,28.0
197,5767,23.0
198,5808,41.0
199,5820,12.0
200,5854,34.0
201,5872,18.0
202,5897,25.0
203,5963,66.0
204,5995,32.0
205,6034,39.0
206,6063,29.0
207,6111,48.0
208,6125,14.0
209,6178,53.0
210,6223,45.0
211,6241,18.0
212,6260,19.0
213,6295,35.0
214,6326,31.0
215,6370,44.0
216,6389,19.0
217,6406,17.0
218,6470,64.0
219,6486,16.0
220,6513,27.0
221,6529,16.0
222,6553,24.0
223,6575,22.0
224,6644,69.0
225,6671,27.0
226,6722,51.0
227,6738,16.0
228,6767,29.0
229,6803,36.0
230,6832,29.0
231,6896,64.0
232,6917,21.0
233,6931,14.0
234,6979,48.0
235,6998,19.0
236,7052,54.0
237,7089,37.0
238,7188,99.0
239,7245,57.0
240,7288,43.0
241,7322,34.0
242,7346,24.0
243,7370,24.0
244,7390,20.0
245,7442,52.0
246,7482,40.0
247,7552,70.0
248,7579,27.0
249,7611,32.0
250,7648,37.0
251,7695,47.0
252,7733,38.0
253,7754,21.0
254,7811,57.0
255,7849,38.0
256,7874,25.0
257,7890,16.0
258,7997,107.0
259,8015,18.0
260,8037,22.0
261,8063,26.0
262,8093,30.0
263,8176,83.0
264,8250,74.0
265,8271,21.0
266,8329,58.0
267,8344,15.0
268,8407,63.0
269,8456,49.0
270,8488,32.0
271,8584,96.0
272,8607,23.0
273,8627,20.0
274,8657,30.0
275,8740,83.0
276,8761,21.0
277,8771,10.0
278,8796,25.0
279,8844,48.0
