episode,timestep,episode_reward
280,8875,31.0
281,8925,50.0
282,8959,34.0
283,8994,35.0
284,9021,27.0
285,9061,40.0
286,9131,70.0
287,9152,21.0
288,9180,28.0
289,9217,37.0
290,9252,35.0
291,9309,57.0
292,9329,20.0
293,9354,25.0
294,9373,19.0
295,9426,53.0
296,9441,15.0
297,9486,45.0
298,9525,39.0
299,9556,31.0
300,9629,73.0
301,9647,18.0
302,9706,59.0
303,9734,28.0
304,9770,36.0
305,9829,59.0
306,9907,78.0
307,9930,23.0
308,9957,27.0
309,10021,64.0
310,10082,61.0
311,10160,78.0
312,10314,154.0
313,10340,26.0
314,10365,25.0
315,10397,32.0
316,10421,24.0
317,10512,91.0
318,10633,121.0
319,10681,48.0
320,10744,63.0
321,10825,81.0
322,10885,60.0
323,10920,35.0
324,10969,49.0
325,10996,27.0
326,11074,78.0
327,11164,90.0
328,11199,35.0
329,11256,57.0
330,11299,43.0
331,11327,28.0
332,11386,59.0
333,11436,50.0
334,11464,28.0
335,11557,93.0
336,11572,15.0
337,11610,38.0
338,11667,57.0
339,11710,43.0
340,11750,40.0
341,11804,54.0
342,11833,29.0
343,11865,32.0
344,11906,41.0
345,12001,95.0
346,12033,32.0
347,12089,56.0
348,12157,68.0
349,12169,12.0
350,12299,130.0
351,12330,31.0
352,12380,50.0
353,12410,30.0
354,12454,44.0
355,12522,68.0
356,12553,31.0
357,12599,46.0
358,12683,84.0
359,12718,35.0
360,12803,85.0
361,12935,132.0
362,13053,118.0
